City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,nadi,-17.8,177.4167,23.0,88,20,0.0,FJ,1721068653
214,fada n'gourma,12.0622,0.3578,26.45,74,18,1.48,BF,1721068757
215,aykhal,66.0,111.5,16.86,44,100,0.51,RU,1721068758
216,ratangarh,28.0833,74.6,34.93,48,52,3.78,IN,1721068760
217,sontra,51.0667,9.9333,26.5,72,100,1.7,DE,1721068761
218,laojunmiao,39.8333,97.7333,19.74,48,100,4.69,CN,1721068762
219,klaksvik,62.2266,-6.589,10.51,94,100,5.81,FO,1721068763
220,haimen,23.1935,116.6142,26.94,88,100,2.6,CN,1721068765
221,mount isa,-20.7333,139.5,2.87,81,0,0.0,AU,1721068766
222,chipinge,-20.1883,32.6236,13.93,39,0,1.16,ZW,1721068767
223,nova sintra,14.8667,-24.7167,25.69,79,6,3.03,CV,1721068768
224,la'ie,21.6477,-157.9253,25.98,75,99,4.92,US,1721068770
225,bichura,50.5881,107.6022,16.29,67,0,1.12,RU,1721068771
226,mukalla,14.5425,49.1242,30.04,68,77,3.0,YE,1721068772
227,siteki,-26.45,31.95,12.89,83,41,0.87,SZ,1721068773
228,esens,53.6487,7.6127,18.86,82,75,4.12,DE,1721068775
229,yuzhno-kurilsk,44.0306,145.8556,13.87,98,95,1.57,RU,1721068776
230,ixtapa,20.7,-105.2,32.9,66,40,2.57,MX,1721068777
231,princeville,45.7668,-61.2985,30.36,64,0,4.63,CA,1721068778
232,birjand,32.8663,59.2211,29.26,15,0,6.17,IR,1721068780
233,haiku-pauwela,20.9219,-156.3051,24.59,76,40,5.81,US,1721068781
234,kourou,5.1552,-52.6478,30.03,82,100,3.45,GF,1721068782
235,enewetak,11.3474,162.3373,28.48,81,99,10.6,MH,1721068783
236,puerto santa,-8.9906,-78.6456,19.08,72,29,5.22,PE,1721068785
237,labrador city,52.9463,-66.9114,19.95,83,75,4.63,CA,1721068786
238,corinto,37.9407,22.9573,30.5,27,0,1.47,GR,1721068787
239,holualoa,19.6228,-155.9522,24.91,91,40,2.06,US,1721068788
240,hellebaek,56.0682,12.5578,19.47,82,0,0.89,DK,1721068790
241,santa ana,33.7456,-117.8678,30.01,68,75,2.57,US,1721068400
242,tari,-11.1105,14.3559,16.36,81,8,0.83,AO,1721068792
243,olovyannaya,50.95,115.5667,14.26,84,100,1.92,RU,1721068793
244,wotje,9.4543,170.2367,27.97,85,6,10.62,MH,1721068795
245,diamantino,-14.4086,-56.4461,28.89,29,0,2.64,BR,1721068796
246,badger,64.8,-147.5333,13.54,84,75,0.0,US,1721068797
247,strugi-krasnyye,58.2675,29.1114,16.98,74,9,1.12,RU,1721068798
248,puerto baquerizo moreno,-0.9,-89.6,23.55,83,75,7.72,EC,1721068800
249,alofi,-19.0595,-169.9187,13.94,100,4,0.51,NU,1721068801
250,coxen hole,16.3244,-86.5366,31.6,70,20,3.6,HN,1721068802
251,cambria,35.5641,-121.0808,30.43,68,28,3.29,US,1721068804
252,polovinnoye,54.7914,65.9864,17.41,84,100,5.31,RU,1721068805
253,tolanaro,-25.0319,46.9987,22.04,73,0,3.09,MG,1721068806
254,tahe,52.3333,124.7333,16.61,99,100,0.85,CN,1721068807
255,puerto salgar,5.463,-74.6544,33.8,45,1,4.08,CO,1721068809
256,horta,38.5333,-28.6333,24.8,91,40,4.63,PT,1721068810
257,altay,47.8667,88.1167,23.18,27,0,3.57,CN,1721068811
258,san antonio de pale,-1.4014,5.6325,22.58,86,100,4.6,GQ,1721068812
259,catriel,-37.8791,-67.7956,17.6,14,100,3.93,AR,1721068814
260,puerto ayora,-0.7393,-90.3518,25.98,93,94,3.58,EC,1721068815
261,vanino,49.0869,140.2543,16.22,85,100,1.16,RU,1721068816
262,kodiak,57.79,-152.4072,10.73,82,100,2.06,US,1721068817
263,susuman,62.7833,148.1667,10.98,62,0,1.15,RU,1721068819
264,selfoss,63.9331,-20.9971,18.91,73,4,2.02,IS,1721068820
265,praya,14.9215,-23.5087,26.3,78,75,3.09,CV,1721068821
266,volchikha,52.0333,80.3833,21.76,80,91,3.07,RU,1721068822
267,nitra,48.3076,18.0845,29.08,50,0,2.71,SK,1721068824
268,dudinka,69.4058,86.1778,10.95,69,8,3.43,RU,1721068825
269,la ronge,55.1001,-105.2842,13.14,88,100,4.63,CA,1721068826
270,dunbar,38.3606,-81.7374,36.53,45,40,4.02,US,1721068828
271,sint michiel liber,12.15,-68.9833,31.9,66,20,6.17,CW,1721068829
272,okha,53.5739,142.9478,15.33,88,100,2.36,RU,1721068830
273,ziway,7.9333,38.7167,19.82,78,100,4.31,ET,1721068831
274,ola,59.5833,151.2833,11.78,85,78,1.1,RU,1721068833
275,ingeniero jacobacci,-41.3427,-69.5448,4.35,58,100,0.78,AR,1721068834
276,bayanhongor,46.7167,100.1167,12.09,53,10,1.13,MN,1721068836
277,lata,40.1629,-8.3327,22.18,62,0,3.93,PT,1721068837
278,suzemka,52.3178,34.0689,22.28,89,100,2.6,RU,1721068839
279,xinyi,22.373,110.9475,25.66,84,100,1.2,CN,1721068840
280,sao joao da barra,-21.6403,-41.0511,26.05,72,8,8.14,BR,1721068841
281,saint-pol-de-leon,48.6833,-3.9833,19.32,72,75,6.26,FR,1721068842
282,san luis de la loma,17.2706,-100.8939,30.96,66,51,3.39,MX,1721068844
283,gisborne,-38.6533,178.0042,13.09,97,100,2.75,NZ,1721068845
284,alice springs,-23.7,133.8833,4.75,75,0,2.57,AU,1721068846
285,nizhniy kuranakh,58.8353,125.4869,13.63,98,58,1.64,RU,1721068848
286,wangjing,24.6,94.0333,25.39,95,99,0.48,IN,1721068849
287,caleta de carquin,-11.0925,-77.6267,19.0,70,12,4.87,PE,1721068850
288,kingston,17.997,-76.7936,32.53,70,20,7.2,JM,1721068851
289,pacific grove,36.6177,-121.9166,19.34,83,100,3.09,US,1721068853
290,sydney,-33.8679,151.2073,9.84,63,20,5.14,AU,1721068426
291,la passe,45.5549,-0.8967,22.13,78,1,5.8,FR,1721068855
292,kuqa,41.7278,82.9364,31.38,20,93,3.18,CN,1721068856
293,tralee,52.2704,-9.7026,16.21,91,100,2.7,IE,1721068859
294,vila franca do campo,37.7167,-25.4333,23.23,80,28,3.75,PT,1721068860
295,bay roberts,47.5999,-53.2648,23.62,78,45,2.24,CA,1721068861
296,temiskaming shores,47.4938,-79.7153,20.89,42,100,2.56,CA,1721068863
297,kyren,51.6828,102.1408,15.39,91,93,1.46,RU,1721068864
298,carauari,-4.8828,-66.8958,32.66,33,14,1.88,BR,1721068865
299,navrongo,10.8956,-1.0921,25.19,78,100,2.18,GH,1721068866
300,kudahuvadhoo,2.6708,72.8944,29.08,74,99,3.94,MV,1721068868
301,sinan,34.8262,126.1086,25.06,96,98,8.09,KR,1721068869
302,inderbor,48.55,51.7833,29.45,36,6,5.63,KZ,1721068870
303,sao desiderio,-12.3633,-44.9733,31.45,20,0,3.6,BR,1721068872
304,vila velha,-20.3297,-40.2925,29.97,57,0,4.63,BR,1721068873
305,salonta,46.8,21.65,27.49,73,63,8.74,RO,1721068874
306,boke,10.9409,-14.2967,25.05,93,100,2.66,GN,1721068875
307,nizhnyaya poyma,56.1622,97.1933,14.91,81,75,1.24,RU,1721068877
308,kokopo,-4.352,152.2633,24.88,86,100,4.97,PG,1721068878
309,saipan,15.1355,145.701,28.39,83,20,4.12,MP,1721068879
310,mahanoro,-19.9,48.8,19.87,86,97,2.08,MG,1721068880
311,kiama,-34.6833,150.8667,11.88,60,100,6.26,AU,1721068882
312,kovdor,67.5662,30.4758,15.29,66,0,1.93,RU,1721068883
313,melilla,35.2937,-2.9383,33.11,27,0,5.14,ES,1721068885
314,plesetsk,62.708,40.2916,15.68,93,100,1.97,RU,1721068887
315,arraial do cabo,-22.9661,-42.0278,22.98,78,75,5.66,BR,1721068889
316,ma'an,26.9775,110.7211,25.13,85,75,2.06,CN,1721068890
317,matam,15.6175,-13.3303,37.0,49,40,2.06,SN,1721068892
318,maracacume,-2.0428,-45.9592,32.47,43,55,1.24,BR,1721068893
319,itoman,26.1247,127.6694,30.01,82,40,4.12,JP,1721068894
320,bataysk,47.1398,39.7518,31.47,24,82,2.94,RU,1721068896
321,flin flon,54.7682,-101.865,17.91,48,75,5.14,CA,1721068897
322,leduc,53.2668,-113.552,24.88,61,75,2.57,CA,1721068898
323,lebu,-37.6167,-73.65,10.72,75,100,1.58,CL,1721068899
324,marsh harbour,26.5412,-77.0636,28.93,71,5,5.11,BS,1721068901
325,bel ombre,-4.6167,55.4167,25.91,78,20,7.2,SC,1721068902
326,patos de minas,-18.5789,-46.5181,26.24,24,30,2.99,BR,1721068903
327,fortuna,40.5982,-124.1573,17.51,81,0,4.63,US,1721068905
328,vadso,70.0744,29.7487,11.49,100,100,6.17,NO,1721068906
329,coeur d'alene,47.6777,-116.7805,29.37,30,0,4.12,US,1721068470
330,san juan pueblo,15.5833,-87.2333,30.31,81,86,2.61,HN,1721068908
331,poso,-1.3959,120.7524,24.21,90,57,2.51,ID,1721068909
332,leavenworth,39.2333,-95.0336,35.62,61,1,0.45,US,1721068911
333,taulaga,-11.0553,-171.0883,28.23,75,96,7.78,AS,1721068912
334,walvis bay,-22.9575,14.5053,15.53,67,0,1.54,NA,1721068913
335,rongelap,11.1635,166.8941,27.98,84,44,10.18,MH,1721068915
336,nikol'sk,53.7189,46.0712,19.25,71,4,2.73,RU,1721068916
337,miles city,46.4083,-105.8406,26.54,41,0,2.57,US,1721068917
338,mollendo,-17.0231,-72.0147,16.49,70,67,4.24,PE,1721068918
339,atar,20.5169,-13.0499,37.69,21,0,6.46,MR,1721068920
340,kirensk,57.7853,108.1119,15.85,95,79,1.49,RU,1721068921
341,nova vicosa,-17.8919,-39.3719,26.03,59,0,4.24,BR,1721068922
342,tailai,46.3833,123.4,24.64,65,0,6.88,CN,1721068923
343,kharkhorin,47.1975,102.8238,15.5,50,3,1.66,MN,1721068925
344,souillac,-20.5167,57.5167,23.21,56,75,7.2,MU,1721068926
